FSA,LANDAREA,Bachelor's degree or higher,"Car, truck or van - as a driver","Car, truck or van - as a passenger",Couple-family households,Employed,Employee,Median age of the population,Median total income of household in 2020 ($),Permanent position,"Population, 2021",Temporary position,With children,population_density
L5J,17.8669,6695.0,6080.0,750.0,5805.0,13225.0,12360.0,43.2,107000.0,10820.0,28208.0,1545.0,335.0,1578.78535168384
L5K,6.0875,3210.0,2785.0,320.0,2580.0,5710.0,5415.0,41.6,102000.0,4550.0,13363.0,860.0,115.0,2195.154004106776
L5L,18.1864,10055.0,9560.0,935.0,8680.0,19175.0,18330.0,44.0,110000.0,15410.0,43585.0,2920.0,390.0,2396.571064091849
L5M,24.9887,33975.0,22665.0,2440.0,19765.0,49435.0,45845.0,39.6,118000.0,37825.0,106468.0,8020.0,465.0,4260.645811906982
L5N,32.8959,22200.0,20795.0,2305.0,16600.0,41920.0,40715.0,40.4,123000.0,35030.0,83700.0,5685.0,720.0,2544.3900303685264
L5R,9.3291,10075.0,8080.0,1065.0,6710.0,16830.0,16325.0,42.0,99000.0,13610.0,37022.0,2715.0,210.0,3968.442829426204
L5S,5.9959,,,,,,,,,,27.0,,,4.503077102686836
L5T,11.9677,,,,,,,,,,19.0,,,1.5876066412092549
L5V,11.9662,13830.0,11810.0,1340.0,8235.0,23335.0,22480.0,39.6,126000.0,18630.0,49149.0,3850.0,235.0,4107.318948371246
L5W,15.6487,6880.0,6470.0,640.0,3915.0,12090.0,11535.0,37.6,142000.0,9635.0,24145.0,1895.0,140.0,1542.939669109894
L6A,61.2069,22900.0,23080.0,2175.0,16870.0,43655.0,39120.0,39.6,133000.0,33705.0,89287.0,5410.0,590.0,1458.7734389423415
L6B,33.1034,9105.0,7910.0,770.0,6220.0,15995.0,14935.0,37.2,121000.0,12720.0,34763.0,2220.0,255.0,1050.1338231118254
L6C,52.6077,15905.0,10370.0,880.0,10145.0,22990.0,19960.0,41.2,118000.0,16680.0,51738.0,3280.0,310.0,983.4681995221232
L6E,8.2503,10350.0,7860.0,740.0,7115.0,17180.0,15985.0,39.6,115000.0,13480.0,38387.0,2500.0,225.0,4652.800504224089
L6G,14.2567,3105.0,1875.0,165.0,1685.0,4135.0,3860.0,35.2,61200.0,3175.0,8364.0,680.0,40.0,586.6715298771805
L6H,62.5146,23360.0,15305.0,1475.0,15370.0,35090.0,31725.0,40.0,123000.0,26580.0,72662.0,5145.0,505.0,1162.3204819354198
L6J,18.3881,7965.0,3925.0,330.0,5600.0,10565.0,8425.0,46.4,158000.0,6740.0,24420.0,1685.0,115.0,1328.0328038242124
L6K,6.1044,3695.0,3015.0,310.0,2860.0,6540.0,5915.0,44.8,83000.0,4965.0,14118.0,950.0,130.0,2312.7580106152936
L6L,17.0665,8015.0,5995.0,470.0,6860.0,13110.0,11405.0,47.2,122000.0,9620.0,30012.0,1780.0,250.0,1758.532798171857
L6M,34.8703,24930.0,14135.0,1345.0,15600.0,34650.0,31260.0,39.6,143000.0,26070.0,72547.0,5195.0,485.0,2080.4810970940885
L6P,45.794,19005.0,27525.0,2775.0,10380.0,42430.0,37480.0,36.0,134000.0,31185.0,91155.0,6295.0,355.0,1990.5446128313754
L6R,23.5285,18705.0,27470.0,3225.0,11445.0,43760.0,40600.0,34.8,116000.0,33425.0,93783.0,7180.0,460.0,3985.9319548632507
L6S,41.2511,8870.0,15575.0,1815.0,8575.0,25490.0,25180.0,38.8,105000.0,21355.0,54361.0,3825.0,570.0,1317.807282714885
L6T,19.2571,6590.0,9800.0,1460.0,5835.0,17790.0,17990.0,37.2,83000.0,15475.0,39614.0,2515.0,440.0,2057.1114030669205
L6V,8.6194,7080.0,11935.0,1625.0,6340.0,19640.0,19270.0,37.6,93000.0,16220.0,42392.0,3050.0,545.0,4918.207763881476
L6W,15.3978,3720.0,5790.0,695.0,3745.0,10200.0,9970.0,40.8,87000.0,8550.0,23547.0,1425.0,235.0,1529.2444375170478
L6X,26.0308,17355.0,21295.0,2635.0,10620.0,36865.0,34615.0,35.6,116000.0,28970.0,76113.0,5645.0,595.0,2923.9593097407687
L6Y,37.934,22905.0,24945.0,3005.0,13265.0,45695.0,43445.0,35.6,106000.0,35490.0,97601.0,7955.0,500.0,2572.91611746718
L6Z,14.4623,6800.0,9510.0,980.0,5710.0,16295.0,15370.0,38.4,119000.0,13160.0,33888.0,2210.0,355.0,2343.195757244698
L7A,33.6137,24000.0,29320.0,3045.0,15220.0,50175.0,46540.0,33.2,124000.0,39180.0,104009.0,7360.0,775.0,3094.244311099343
L7B,180.9839,4170.0,4845.0,245.0,3825.0,8395.0,6525.0,42.0,154000.0,5495.0,17809.0,1030.0,140.0,98.40101799110307
L7C,293.252,6425.0,10475.0,725.0,5735.0,16510.0,14175.0,38.0,134000.0,12170.0,33846.0,2000.0,310.0,115.41609264386943
L7E,135.4397,5445.0,11345.0,1020.0,7325.0,17815.0,16540.0,42.4,132000.0,14210.0,34516.0,2335.0,370.0,254.8440376049268
L7G,127.5306,9065.0,14675.0,1130.0,10500.0,24865.0,23410.0,42.0,132000.0,20440.0,48051.0,2975.0,655.0,376.7801609966549
L7J,133.2637,1690.0,4610.0,350.0,3005.0,7155.0,6490.0,43.6,110000.0,5795.0,13766.0,700.0,265.0,103.298947875528
L7K,260.1272,1380.0,2620.0,155.0,1875.0,4195.0,3460.0,48.4,134000.0,2965.0,8486.0,490.0,115.0,32.622501606906155
L7L,24.6378,12290.0,11470.0,1115.0,10910.0,23595.0,22090.0,42.4,122000.0,19170.0,47433.0,2920.0,505.0,1925.2124783868692
L7M,53.8541,12835.0,11865.0,1060.0,10915.0,23775.0,22335.0,41.6,131000.0,19355.0,48498.0,2975.0,455.0,900.5442482559359
L7N,6.5651,2860.0,2980.0,245.0,3045.0,5925.0,5350.0,48.0,101000.0,4640.0,13160.0,710.0,155.0,2004.539154011363
L7P,78.1321,5695.0,7740.0,800.0,6940.0,14120.0,13065.0,44.0,117000.0,11560.0,29777.0,1510.0,440.0,381.11096463553395
L7R,5.9362,4125.0,4420.0,365.0,3750.0,8670.0,8115.0,45.2,86000.0,7025.0,17338.0,1090.0,215.0,2920.723695293285
L7S,3.9426,2295.0,2695.0,260.0,2645.0,5235.0,5045.0,54.0,77000.0,4375.0,12207.0,670.0,120.0,3096.1801856642824
L7T,13.0558,3560.0,4530.0,370.0,4365.0,8200.0,7380.0,48.8,93000.0,6290.0,18555.0,1090.0,260.0,1421.2074327118983
L8B,130.2271,5740.0,7485.0,570.0,6000.0,13565.0,12305.0,38.4,131000.0,10765.0,25778.0,1535.0,340.0,197.94651036535404
L8E,32.8993,6175.0,12055.0,1060.0,8390.0,18665.0,17590.0,41.2,91000.0,15420.0,41927.0,2175.0,545.0,1274.4040146750845
L8G,8.8239,2490.0,5665.0,485.0,4495.0,8670.0,8545.0,50.8,77000.0,7630.0,21805.0,915.0,265.0,2471.129545892406
L8H,15.6287,2195.0,7220.0,955.0,4475.0,11535.0,12025.0,40.0,70000.0,10715.0,26187.0,1310.0,675.0,1675.571224733983
L8J,71.471,4930.0,9055.0,775.0,5905.0,13965.0,13390.0,36.8,114000.0,11575.0,29146.0,1820.0,395.0,407.8017657511438
L8K,11.819,3610.0,8935.0,865.0,6310.0,14065.0,14155.0,42.4,75000.0,12510.0,32598.0,1645.0,635.0,2758.101362213385
L8L,13.2307,3695.0,6535.0,1115.0,4985.0,13015.0,13335.0,36.4,65000.0,11255.0,32312.0,2080.0,815.0,2442.1988254589705
L8M,3.346,2350.0,2775.0,385.0,2310.0,6170.0,6065.0,38.4,61200.0,5050.0,13774.0,1015.0,295.0,4116.55708308428
L8N,6.5312,2945.0,3110.0,395.0,2440.0,7280.0,7215.0,36.8,54800.0,6055.0,15568.0,1165.0,200.0,2383.6354728074475
L8P,5.8906,7145.0,4530.0,490.0,4455.0,11815.0,11210.0,38.8,58000.0,8760.0,24773.0,2445.0,240.0,4205.513869554884
L8R,4.1562,1985.0,2015.0,385.0,1705.0,4895.0,4925.0,38.4,53600.0,3875.0,11651.0,1050.0,155.0,2803.281843992108
L8S,17.9287,4510.0,2825.0,335.0,2575.0,7350.0,7245.0,32.4,62800.0,4885.0,15787.0,2355.0,130.0,880.5434861423305
L8T,6.263,2215.0,5165.0,585.0,3910.0,8265.0,8270.0,43.6,85000.0,7295.0,19405.0,980.0,325.0,3098.355420724892
L8V,5.5244,2040.0,5465.0,735.0,3825.0,8880.0,9065.0,44.4,68500.0,7960.0,21165.0,1105.0,340.0,3831.1852870900007
L8W,7.052,3485.0,7500.0,875.0,4710.0,11645.0,11800.0,38.8,101000.0,10185.0,26077.0,1620.0,365.0,3697.81622234827
L9A,7.1852,3380.0,6865.0,980.0,4715.0,11480.0,11540.0,40.4,81000.0,10085.0,25899.0,1455.0,375.0,3604.4925680565607
L9B,13.6175,3990.0,6600.0,630.0,4965.0,10580.0,10405.0,42.8,105000.0,8870.0,25025.0,1535.0,255.0,1837.708830548926
L9C,12.6266,6685.0,10510.0,1215.0,7775.0,17645.0,17360.0,41.2,92000.0,14550.0,41202.0,2810.0,580.0,3263.111209668478
L9E,118.7335,5350.0,3735.0,280.0,3285.0,7700.0,6810.0,32.4,124000.0,5690.0,16933.0,1115.0,160.0,142.61349998104998
L9G,80.625,6205.0,6615.0,575.0,6045.0,12030.0,10280.0,44.8,138000.0,8415.0,25020.0,1870.0,245.0,310.3255813953488
L9H,62.01,6750.0,7875.0,645.0,7410.0,14295.0,12695.0,49.6,106000.0,10475.0,31221.0,2220.0,410.0,503.48330914368654
L9J,27.2468,325.0,660.0,55.0,485.0,1025.0,1000.0,36.8,84000.0,855.0,2272.0,140.0,30.0,83.38593889924688
L9K,7.5933,4465.0,4140.0,315.0,3315.0,7255.0,6580.0,39.6,128000.0,5360.0,15928.0,1215.0,130.0,2097.6387078081993
L9L,236.5082,1900.0,4310.0,270.0,3405.0,6715.0,5885.0,50.4,107000.0,5100.0,14620.0,785.0,230.0,61.81603851367522
L9M,242.9891,1290.0,4320.0,425.0,3605.0,6150.0,5810.0,53.2,76000.0,4885.0,16607.0,930.0,310.0,68.34462945045684
L9N,69.0495,4465.0,6045.0,470.0,4535.0,10330.0,9400.0,38.0,117000.0,8035.0,21656.0,1370.0,315.0,313.6300769737652
L9P,218.119,3075.0,4805.0,365.0,3995.0,8455.0,7215.0,47.2,114000.0,6155.0,17383.0,1055.0,280.0,79.69502886039272
L9R,103.0616,2655.0,8250.0,745.0,5505.0,11915.0,11235.0,40.8,99000.0,9835.0,25949.0,1400.0,530.0,251.78145885567466
L9S,119.0325,3405.0,10710.0,730.0,7045.0,15560.0,14365.0,42.0,100000.0,12670.0,33434.0,1690.0,745.0,280.88127192153405
L9T,82.9492,28960.0,27910.0,2375.0,21795.0,52315.0,49685.0,36.4,126000.0,43240.0,110956.0,6445.0,1110.0,1337.6379760142352
L9V,818.77,1725.0,6200.0,530.0,3595.0,8770.0,7725.0,40.0,105000.0,6810.0,17750.0,920.0,435.0,21.6788597530442
L9W,683.4793,6160.0,16370.0,1265.0,10170.0,24595.0,23000.0,40.4,110000.0,20215.0,48790.0,2785.0,995.0,71.38475152063859
L9X,238.2282,2280.0,4285.0,315.0,3095.0,6535.0,5500.0,42.8,141000.0,4670.0,12896.0,825.0,185.0,54.132969984242
L9Y,186.0677,4235.0,7010.0,615.0,6715.0,12015.0,10285.0,52.0,85000.0,8615.0,28925.0,1670.0,480.0,155.4541707131329
L9Z,57.4219,1725.0,6005.0,455.0,6045.0,8770.0,8230.0,56.4,76000.0,7095.0,24849.0,1135.0,445.0,432.7443013902361
M1B,35.3539,11105.0,13755.0,1950.0,9445.0,27810.0,28445.0,39.6,91000.0,23770.0,65555.0,4670.0,475.0,1854.250874726692
M1C,13.8604,8405.0,7270.0,735.0,6865.0,16100.0,15350.0,44.4,130000.0,12715.0,35642.0,2635.0,270.0,2571.498658047387
M1E,15.8104,8615.0,8690.0,1235.0,7395.0,19435.0,19370.0,41.2,82000.0,15880.0,48033.0,3490.0,475.0,3038.063553104286
M1G,8.9669,5380.0,5575.0,915.0,4370.0,11905.0,11840.0,36.8,73500.0,9595.0,30894.0,2245.0,200.0,3445.3378536618
M1H,4.4976,5655.0,4310.0,795.0,3960.0,10420.0,10455.0,38.4,80000.0,8685.0,23964.0,1765.0,140.0,5328.175026680896
M1J,6.56,6350.0,6165.0,1005.0,5345.0,14730.0,14985.0,37.6,76500.0,12210.0,37002.0,2775.0,315.0,5640.548780487805
M1K,8.7101,8765.0,7630.0,1150.0,7125.0,19230.0,19670.0,40.4,72500.0,16055.0,48175.0,3615.0,425.0,5530.935350914455
M1L,8.3321,8290.0,5440.0,675.0,5765.0,14635.0,14580.0,38.8,78000.0,12180.0,35833.0,2395.0,360.0,4300.5964882802655
M1M,9.2167,5385.0,4120.0,510.0,4175.0,9895.0,9295.0,44.4,87000.0,7690.0,23258.0,1605.0,225.0,2523.462844619007
M1N,5.9616,5385.0,4015.0,420.0,4450.0,10125.0,9540.0,44.8,90000.0,8170.0,22976.0,1370.0,355.0,3853.9989264626947
M1P,11.1723,9375.0,7700.0,1025.0,7325.0,18665.0,18680.0,39.6,76000.0,15505.0,45170.0,3170.0,315.0,4043.0350062207426
M1R,10.2393,5790.0,5800.0,850.0,4930.0,13045.0,12855.0,41.2,81000.0,10650.0,30467.0,2205.0,275.0,2975.4963718222925
M1S,12.9636,8085.0,7140.0,1180.0,6195.0,15785.0,15115.0,44.4,81000.0,12200.0,37663.0,2920.0,210.0,2905.2886543861273
M1T,6.1233,7290.0,5690.0,855.0,5765.0,13555.0,13285.0,44.8,71500.0,10950.0,34607.0,2335.0,205.0,5651.691081606323
M1V,14.2525,7785.0,9425.0,1780.0,7670.0,18690.0,18355.0,45.6,82000.0,14735.0,50825.0,3625.0,375.0,3566.041045430626
M1W,8.3863,9730.0,8465.0,1200.0,8085.0,18350.0,17885.0,48.0,82000.0,14645.0,47070.0,3240.0,285.0,5612.725516616386
M1X,7.0091,2425.0,3695.0,505.0,1980.0,6590.0,6625.0,38.4,122000.0,5400.0,14810.0,1225.0,75.0,2112.9674280578106
M2H,7.6546,7060.0,3750.0,410.0,4310.0,9615.0,8705.0,48.0,91000.0,7140.0,23396.0,1565.0,105.0,3056.4627805502573
M2J,10.1063,20350.0,9695.0,1175.0,11450.0,28295.0,27005.0,38.4,83000.0,22260.0,61761.0,4740.0,365.0,6111.1385967169
M2K,5.68,10290.0,3975.0,445.0,5380.0,12320.0,11075.0,40.4,83000.0,9105.0,25377.0,1960.0,115.0,4467.781690140845
M2L,6.1199,3595.0,1930.0,220.0,2275.0,5065.0,3750.0,46.4,133000.0,3065.0,11274.0,690.0,75.0,1842.1869638392784
M2M,7.5823,10650.0,4830.0,625.0,5755.0,14485.0,12790.0,44.4,81000.0,10430.0,31915.0,2360.0,130.0,4209.144982393205
M2N,9.5924,32330.0,9955.0,1070.0,15175.0,36565.0,32995.0,38.0,82000.0,27315.0,75100.0,5675.0,325.0,7829.114715816689
M2P,2.868,2700.0,1295.0,140.0,1675.0,3515.0,2630.0,47.2,120000.0,2170.0,7546.0,455.0,40.0,2631.1018131101814
M2R,7.0468,10440.0,6815.0,1105.0,6775.0,18290.0,16820.0,44.4,78000.0,13830.0,40581.0,2990.0,310.0,5758.784128966339
M3A,7.437,8565.0,6180.0,880.0,6005.0,15415.0,14835.0,40.8,85000.0,12425.0,34361.0,2405.0,330.0,4620.276993411321
M3B,7.1507,4250.0,1965.0,190.0,2820.0,5565.0,4105.0,49.2,121000.0,3410.0,12880.0,695.0,65.0,1801.2222579607592
M3C,8.3416,9680.0,6240.0,835.0,6995.0,16505.0,15610.0,40.4,74500.0,12870.0,39616.0,2740.0,260.0,4749.2087848853935
M3H,11.0528,11190.0,7140.0,825.0,7075.0,18925.0,16745.0,40.8,92000.0,14305.0,38416.0,2440.0,295.0,3475.6803705848292
M3J,13.0563,5110.0,4720.0,820.0,3460.0,11705.0,11970.0,36.0,75500.0,9710.0,26600.0,2265.0,200.0,2037.330637316851
M3K,6.3491,1720.0,1655.0,190.0,1365.0,3755.0,3680.0,38.8,88000.0,3155.0,7865.0,525.0,100.0,1238.758249200674
M3L,5.7104,2020.0,4045.0,675.0,2270.0,7750.0,8000.0,40.4,77500.0,6795.0,19263.0,1210.0,235.0,3373.3188568226396
M3M,5.0881,3425.0,5210.0,785.0,3725.0,10830.0,11050.0,41.2,74000.0,9465.0,24906.0,1585.0,300.0,4894.950964014072
M3N,6.6508,3085.0,7050.0,1410.0,4440.0,14175.0,15165.0,38.0,66500.0,12695.0,40846.0,2465.0,505.0,6141.516810007818
M4A,4.4758,2835.0,2430.0,345.0,2385.0,6060.0,5975.0,44.0,70500.0,5015.0,14589.0,965.0,115.0,3259.5290227445375
M4B,4.9089,3620.0,2990.0,355.0,3230.0,7915.0,7575.0,43.2,78000.0,6410.0,18612.0,1165.0,225.0,3791.4807798081038
M4C,5.0113,13965.0,5395.0,715.0,8895.0,21585.0,20495.0,40.0,83000.0,17205.0,46440.0,3290.0,555.0,9267.056452417535
M4E,3.769,8925.0,3110.0,335.0,5730.0,12830.0,11065.0,42.8,112000.0,9325.0,25473.0,1735.0,400.0,6758.556646325285
M4G,7.1324,7450.0,2775.0,250.0,4540.0,9525.0,7935.0,44.4,130000.0,6720.0,19598.0,1210.0,160.0,2747.742695305928
M4H,1.0874,3600.0,2240.0,265.0,3055.0,5915.0,5300.0,34.0,64500.0,4090.0,18698.0,1215.0,95.0,17195.144381092516
M4J,5.325,10765.0,3930.0,485.0,7025.0,16670.0,15030.0,42.0,93000.0,12840.0,35128.0,2195.0,470.0,6596.807511737089
M4K,4.3905,10605.0,3075.0,440.0,6230.0,15140.0,13140.0,43.2,84000.0,10910.0,30913.0,2230.0,435.0,7040.883726227081
M4L,4.3573,10505.0,3770.0,495.0,6785.0,15780.0,14015.0,40.8,101000.0,12060.0,32218.0,1960.0,495.0,7394.028412090055
M4M,9.1644,9425.0,2660.0,300.0,4920.0,13555.0,12110.0,38.8,99000.0,10490.0,25052.0,1615.0,325.0,2733.6214045654924
M4N,4.8658,5800.0,1740.0,120.0,3520.0,6820.0,5400.0,46.8,146000.0,4505.0,16058.0,900.0,85.0,3300.176743803691
M4P,1.441,11045.0,2660.0,280.0,5000.0,14115.0,13245.0,36.8,74500.0,11075.0,25057.0,2175.0,200.0,17388.61901457321
M4R,1.8541,4915.0,1220.0,155.0,2610.0,6190.0,5220.0,40.4,107000.0,4285.0,11909.0,940.0,90.0,6423.062402243676
M4S,3.079,14280.0,2915.0,335.0,6545.0,17140.0,15530.0,38.0,88000.0,13190.0,30754.0,2345.0,205.0,9988.307892172783
M4T,1.6713,3995.0,895.0,120.0,2340.0,4935.0,3885.0,46.8,114000.0,3255.0,10332.0,630.0,75.0,6182.014001077006
M4V,2.7339,7565.0,1945.0,245.0,4175.0,10320.0,8230.0,45.2,99000.0,6895.0,19273.0,1335.0,125.0,7049.636051062584
M4W,4.4645,6355.0,1340.0,150.0,3280.0,7730.0,6045.0,44.8,104000.0,4945.0,15296.0,1095.0,80.0,3426.1395453018254
M4X,1.1465,6005.0,1415.0,260.0,3090.0,9140.0,8935.0,39.2,58800.0,7240.0,19896.0,1695.0,155.0,17353.685128652418
M4Y,1.0366,16630.0,1940.0,330.0,5630.0,20545.0,20130.0,33.2,62400.0,15555.0,36319.0,4575.0,100.0,35036.65830600039
M5A,3.7157,18680.0,3750.0,525.0,8095.0,25830.0,24530.0,36.4,71000.0,20460.0,48978.0,4070.0,335.0,13181.365556961004
M5B,0.5576,7825.0,860.0,175.0,2470.0,9725.0,9635.0,31.4,58000.0,7415.0,17422.0,2225.0,75.0,31244.619799139167
M5C,0.2219,1610.0,200.0,20.0,600.0,1900.0,1860.0,36.4,89000.0,1580.0,3149.0,280.0,10.0,14191.077061739523
M5E,0.4951,6950.0,930.0,75.0,2515.0,7975.0,7285.0,34.4,98000.0,6450.0,11779.0,840.0,45.0,23791.15330236316
M5G,0.7095,5210.0,350.0,75.0,1625.0,5615.0,5500.0,30.8,67500.0,3875.0,9751.0,1630.0,30.0,13743.481324876673
M5H,0.4726,1945.0,170.0,20.0,515.0,2105.0,2020.0,31.4,90000.0,1575.0,3248.0,445.0,15.0,6872.619551417689
M5J,4.1369,9620.0,900.0,110.0,3415.0,11095.0,10280.0,33.6,94000.0,8855.0,16879.0,1430.0,65.0,4080.1082936498346
M5M,5.1585,9665.0,3765.0,270.0,5770.0,12120.0,9475.0,43.2,164000.0,7875.0,25495.0,1600.0,170.0,4942.32819618106
M5N,2.754,5430.0,2245.0,235.0,3380.0,7705.0,6120.0,41.6,110000.0,4990.0,16154.0,1130.0,130.0,5865.6499636891795
M5P,3.3673,7470.0,2385.0,235.0,4295.0,10280.0,8050.0,43.2,99000.0,6745.0,19791.0,1310.0,155.0,5877.409200249458
M5R,2.8276,10755.0,2090.0,255.0,4980.0,13835.0,11565.0,42.0,86000.0,9270.0,26197.0,2290.0,185.0,9264.74748903664
M5S,1.8915,6880.0,975.0,115.0,2695.0,8390.0,7580.0,33.2,70000.0,5320.0,17074.0,2260.0,70.0,9026.69838752313
M5T,1.4718,5870.0,860.0,95.0,2255.0,8195.0,7830.0,36.0,61600.0,5985.0,17903.0,1845.0,105.0,12164.016850115504
M5V,3.8341,34995.0,4900.0,675.0,11135.0,43430.0,40280.0,32.0,91000.0,35110.0,59912.0,5170.0,330.0,15626.092172869774
M6A,5.5599,5335.0,3245.0,575.0,3350.0,10080.0,9805.0,37.6,72500.0,8200.0,22380.0,1605.0,165.0,4025.2522527383585
M6B,5.3266,6825.0,4490.0,605.0,5020.0,12505.0,11775.0,42.0,86000.0,9875.0,28534.0,1890.0,240.0,5356.888071189877
M6C,2.9792,8245.0,2960.0,360.0,4765.0,12370.0,10730.0,40.4,91000.0,8930.0,23997.0,1800.0,230.0,8054.84693877551
M6E,5.0027,7730.0,6080.0,1355.0,6610.0,18125.0,17185.0,40.8,82000.0,14745.0,37684.0,2435.0,575.0,7532.732324544746
M6G,3.8615,11135.0,2985.0,395.0,5615.0,15915.0,13875.0,39.6,91000.0,11240.0,30600.0,2635.0,415.0,7924.381716949372
M6H,4.6523,13760.0,5090.0,860.0,7985.0,22695.0,21010.0,38.4,83000.0,17310.0,43730.0,3695.0,645.0,9399.651785138532
M6J,2.9426,12525.0,2995.0,490.0,5685.0,18465.0,16495.0,36.8,90000.0,13820.0,32111.0,2675.0,400.0,10912.458370148848
M6K,2.7728,15710.0,4235.0,615.0,7065.0,24000.0,22825.0,35.6,72000.0,19480.0,42110.0,3345.0,400.0,15186.814772071551
M6L,4.7863,2585.0,3880.0,580.0,3070.0,7900.0,7900.0,42.4,74000.0,6535.0,20156.0,1360.0,225.0,4211.186093642271
M6M,8.096,4760.0,8060.0,1295.0,6125.0,17360.0,17500.0,40.0,71500.0,14900.0,42148.0,2600.0,665.0,5206.02766798419
M6N,8.3243,6120.0,6855.0,1110.0,6520.0,17285.0,16885.0,40.8,75500.0,14465.0,40252.0,2420.0,585.0,4835.481662121741
M6P,4.1581,15665.0,4575.0,530.0,8160.0,21575.0,19775.0,39.2,86000.0,16610.0,39870.0,3160.0,510.0,9588.513984752652
M6R,2.3243,8035.0,2120.0,250.0,4045.0,10855.0,8925.0,39.2,104000.0,7355.0,19349.0,1570.0,350.0,8324.656885944156
M6S,8.01,12330.0,4320.0,415.0,7505.0,17030.0,14880.0,41.6,108000.0,12860.0,34029.0,2020.0,415.0,4248.314606741573
M8V,7.0416,14020.0,8520.0,800.0,8835.0,23400.0,21430.0,40.0,79000.0,18535.0,44144.0,2890.0,440.0,6269.029765962281
M8W,6.9498,5780.0,4990.0,500.0,4445.0,11365.0,10630.0,41.6,95000.0,9295.0,22381.0,1330.0,260.0,3220.380442602665
M8X,2.8732,3650.0,1465.0,125.0,2560.0,4910.0,3935.0,50.8,139000.0,3300.0,10624.0,635.0,75.0,3697.6193790895168
M8Y,4.8899,6985.0,4335.0,430.0,4625.0,11435.0,10290.0,40.8,91000.0,8985.0,21986.0,1305.0,235.0,4496.2064663899055
M8Z,8.7727,5885.0,3390.0,340.0,3895.0,9470.0,8725.0,40.4,111000.0,7625.0,19312.0,1100.0,220.0,2201.374719299645
M9A,10.0741,10890.0,6760.0,650.0,7535.0,17895.0,15910.0,43.2,93000.0,13505.0,36642.0,2410.0,300.0,3637.2479923764904
M9B,13.3122,9790.0,6425.0,660.0,6935.0,16040.0,14600.0,42.0,108000.0,12380.0,33236.0,2225.0,285.0,2496.6572016646383
M9C,14.1886,9280.0,8165.0,875.0,7705.0,17735.0,16750.0,45.6,95000.0,14375.0,38725.0,2380.0,375.0,2729.3038072819027
M9L,7.9409,1520.0,2630.0,345.0,1680.0,4640.0,4690.0,41.6,81000.0,3920.0,11737.0,765.0,95.0,1478.0440504224962
M9M,6.3964,3570.0,5120.0,965.0,3415.0,10170.0,10280.0,38.0,82000.0,8625.0,24245.0,1655.0,285.0,3790.4133575136016
M9N,5.1476,3320.0,5080.0,665.0,3865.0,10790.0,10850.0,39.6,69500.0,9215.0,26059.0,1635.0,330.0,5062.359157665708
M9P,6.7153,3855.0,4015.0,510.0,3815.0,8510.0,7905.0,45.2,91000.0,6875.0,20645.0,1025.0,170.0,3074.322815064107
M9R,6.5681,5855.0,6910.0,830.0,5635.0,13775.0,13375.0,40.8,82000.0,11305.0,33783.0,2075.0,295.0,5143.496597189445
M9V,15.5433,7905.0,11525.0,1730.0,6910.0,21715.0,22115.0,37.2,82000.0,18125.0,53878.0,3990.0,400.0,3466.316676638809
M9W,27.3161,6760.0,9605.0,1170.0,5845.0,18200.0,18010.0,38.8,85000.0,14990.0,40977.0,3025.0,355.0,1500.1043340740443
