FSA,LANDAREA,Bachelor's degree or higher,"Car, truck or van - as a driver","Car, truck or van - as a passenger",Couple-family households,Employed,Employee,Median age of the population,Median total income of household in 2020 ($),Permanent position,"Population, 2021",Temporary position,With children,population_density
N0A,1035.2298,2295.0,10265.0,540.0,7845.0,13810.0,12585.0,50.8,88000.0,10990.0,31957.0,1595.0,560.0,30.869474584290366
N0B,2106.5526,12660.0,26670.0,1775.0,20560.0,44660.0,36760.0,42.8,120000.0,32140.0,86919.0,4625.0,1140.0,41.261253101394196
N0C,1296.4427,1180.0,5165.0,330.0,3885.0,7805.0,6245.0,43.6,85000.0,5410.0,17537.0,835.0,380.0,13.527015116055649
N0E,1365.0123,2775.0,11900.0,760.0,8760.0,16365.0,14265.0,46.0,92000.0,12350.0,36557.0,1915.0,580.0,26.78144365439051
N0G,5612.6402,5225.0,27355.0,2325.0,20035.0,41855.0,33830.0,40.8,83000.0,29435.0,86935.0,4395.0,1475.0,15.489145375825089
N0H,3239.6509,6640.0,14840.0,920.0,14060.0,22875.0,19150.0,52.8,86000.0,15890.0,53674.0,3260.0,880.0,16.56783451574983
N0J,1494.4442,2305.0,11290.0,730.0,7855.0,16335.0,13855.0,38.4,97000.0,12205.0,33457.0,1650.0,505.0,22.38758730503287
N0K,1499.13,1690.0,8285.0,725.0,5930.0,12920.0,10450.0,38.4,90000.0,9195.0,24817.0,1255.0,335.0,16.554268142189134
N0L,2069.842,5450.0,16365.0,1025.0,12450.0,23995.0,21315.0,44.0,100000.0,18635.0,49817.0,2685.0,865.0,24.06802065085161
N0M,3593.2568,6595.0,22040.0,1460.0,17635.0,33275.0,28335.0,46.0,91000.0,24620.0,69177.0,3720.0,1030.0,19.251894270401156
N0N,1576.4634,3980.0,13310.0,735.0,10700.0,18200.0,16915.0,45.2,96000.0,14365.0,42297.0,2550.0,645.0,26.83030890536374
N0P,2849.2033,3415.0,17270.0,1120.0,12900.0,23305.0,20890.0,46.0,80000.0,17985.0,53140.0,2905.0,835.0,18.65082775946525
N0R,784.0921,6590.0,17190.0,875.0,12005.0,23025.0,22220.0,43.2,107000.0,19810.0,50203.0,2410.0,685.0,64.02691724607352
N1A,225.1076,585.0,3945.0,275.0,2835.0,5245.0,4725.0,47.2,77500.0,4165.0,12614.0,560.0,205.0,56.035424836833585
N1C,4.7041,1060.0,1115.0,75.0,860.0,1865.0,1800.0,43.6,153000.0,1555.0,3678.0,245.0,35.0,781.8711336918857
N1E,39.2619,8860.0,13960.0,1305.0,9240.0,22625.0,21800.0,38.4,96000.0,19125.0,44799.0,2675.0,800.0,1141.0298533692971
N1G,22.8294,7375.0,7945.0,765.0,5925.0,14560.0,14210.0,37.6,98000.0,11445.0,29688.0,2765.0,350.0,1300.428394964388
N1H,131.6029,7860.0,11320.0,1265.0,8290.0,20110.0,19360.0,41.2,77000.0,16620.0,42178.0,2740.0,705.0,320.4944571890133
N1K,4.1746,2145.0,3740.0,435.0,2160.0,5750.0,5645.0,38.4,110000.0,4900.0,10908.0,740.0,145.0,2612.9449528098503
N1L,12.271,4930.0,5145.0,400.0,3460.0,8960.0,8650.0,34.8,114000.0,7080.0,17474.0,1560.0,175.0,1424.0078233232825
N1M,88.7683,2295.0,6280.0,390.0,4245.0,9015.0,8230.0,42.4,95000.0,7275.0,18498.0,955.0,335.0,208.38520057272697
N1P,2.2739,1085.0,2740.0,345.0,1695.0,4075.0,4045.0,36.0,118000.0,3595.0,7991.0,450.0,150.0,3514.2266590439335
N1R,182.1589,3935.0,13110.0,1340.0,8070.0,19480.0,19040.0,40.8,77000.0,16880.0,42928.0,2165.0,800.0,235.66238048209559
N1S,9.8775,2945.0,6180.0,550.0,4410.0,9415.0,9110.0,42.8,95000.0,7910.0,20171.0,1205.0,355.0,2042.115920020248
N1T,15.225,3360.0,6200.0,455.0,3595.0,9195.0,8755.0,37.2,124000.0,7520.0,18513.0,1230.0,245.0,1215.960591133005
N2A,13.6052,5660.0,9290.0,840.0,6635.0,14965.0,14345.0,39.2,96000.0,12590.0,32454.0,1750.0,445.0,2385.4114603239937
N2B,7.6676,2235.0,5290.0,455.0,3590.0,8245.0,8145.0,42.8,81000.0,7125.0,16939.0,1020.0,280.0,2209.165840680265
N2C,13.2857,2585.0,4825.0,720.0,3205.0,8045.0,8070.0,36.8,70000.0,6910.0,17681.0,1155.0,240.0,1330.8293879885891
N2E,12.6935,6315.0,12400.0,1330.0,7880.0,19435.0,19455.0,36.4,93000.0,17115.0,40428.0,2340.0,615.0,3184.9371725686374
N2G,5.679,3610.0,3135.0,285.0,2745.0,7370.0,7180.0,38.0,62400.0,6095.0,14580.0,1085.0,175.0,2567.3534072900156
N2H,11.3629,5185.0,5785.0,575.0,4595.0,11675.0,11170.0,38.4,73500.0,9760.0,22456.0,1415.0,335.0,1976.2560613927783
N2J,38.2888,5175.0,4390.0,410.0,3945.0,9785.0,9435.0,36.8,74500.0,7715.0,20899.0,1715.0,225.0,545.8254110862706
N2K,20.4743,7790.0,8010.0,745.0,6880.0,15275.0,14515.0,40.4,120000.0,12400.0,29381.0,2115.0,325.0,1435.0185354322248
N2L,15.7746,9980.0,6685.0,740.0,6090.0,17355.0,17400.0,29.8,69500.0,12780.0,37953.0,4620.0,315.0,2405.956410939105
N2M,10.3077,6160.0,9410.0,1100.0,7005.0,16660.0,16660.0,36.4,71500.0,14500.0,36494.0,2165.0,550.0,3540.4600444328025
N2N,10.2024,4900.0,7555.0,665.0,5710.0,12955.0,12505.0,39.2,108000.0,10875.0,26596.0,1625.0,355.0,2606.8376068376065
N2P,19.3575,5840.0,7460.0,670.0,5110.0,12575.0,11715.0,36.0,110000.0,10060.0,25040.0,1655.0,310.0,1293.555469456283
N2R,26.9683,4595.0,5555.0,465.0,3675.0,9405.0,8785.0,32.8,116000.0,7725.0,18445.0,1055.0,245.0,683.9511574700667
N2T,7.1546,6165.0,4600.0,455.0,4675.0,9870.0,9235.0,41.2,127000.0,7660.0,20634.0,1575.0,205.0,2884.018673301093
N2V,19.0718,6365.0,4505.0,400.0,4240.0,9375.0,8910.0,38.0,126000.0,7490.0,19428.0,1425.0,150.0,1018.6767898153295
N2Z,283.6428,1660.0,3120.0,245.0,3190.0,5045.0,4600.0,46.8,103000.0,3770.0,12341.0,835.0,180.0,43.50894857898737
N3A,196.8159,2255.0,5210.0,335.0,4420.0,8145.0,7410.0,41.6,111000.0,6670.0,17045.0,735.0,225.0,86.6037754063569
N3B,56.0565,1615.0,4190.0,375.0,3035.0,6825.0,6075.0,38.4,107000.0,5510.0,13190.0,560.0,130.0,235.29831509280814
N3C,56.6023,4445.0,9155.0,565.0,5920.0,14025.0,13480.0,38.8,114000.0,11965.0,27518.0,1515.0,450.0,486.1639898025345
N3E,14.2872,690.0,855.0,70.0,495.0,1380.0,1230.0,30.8,121000.0,1040.0,2802.0,190.0,45.0,196.11960356122964
N3H,26.3894,2715.0,7335.0,755.0,4615.0,11325.0,11275.0,40.8,82000.0,9835.0,24306.0,1445.0,450.0,921.0516343683449
N3L,136.6595,2335.0,5985.0,315.0,3980.0,8625.0,7965.0,42.0,102000.0,7070.0,17676.0,895.0,300.0,129.34336800588324
N3P,7.4808,780.0,2840.0,345.0,1760.0,4045.0,4130.0,39.6,92000.0,3640.0,8542.0,495.0,165.0,1141.8564859373328
N3R,16.4913,3655.0,10860.0,1055.0,7665.0,15820.0,15580.0,45.6,83000.0,13740.0,35858.0,1840.0,700.0,2174.358601201846
N3S,21.1132,2020.0,8380.0,960.0,4920.0,11690.0,11810.0,39.2,68500.0,10395.0,27527.0,1420.0,735.0,1303.7815205653335
N3T,245.8371,4875.0,11090.0,1060.0,7110.0,16665.0,15810.0,38.8,86000.0,13590.0,37406.0,2220.0,705.0,152.15766863504328
N3V,0.6066,215.0,555.0,50.0,400.0,715.0,745.0,44.8,109000.0,625.0,1562.0,120.0,20.0,2575.008242664029
N3W,191.854,1860.0,5615.0,360.0,3540.0,7965.0,7385.0,38.4,111000.0,6425.0,15805.0,955.0,295.0,82.38035172579148
N3Y,392.1731,1670.0,6900.0,565.0,5150.0,9455.0,9105.0,49.2,77500.0,7725.0,23402.0,1380.0,455.0,59.67262925478571
N4B,141.7672,450.0,2830.0,210.0,1845.0,3610.0,3420.0,44.4,78000.0,2965.0,8223.0,450.0,175.0,58.00354383806692
N4G,130.0817,1390.0,6385.0,625.0,5085.0,8750.0,8400.0,47.6,75000.0,7435.0,21519.0,970.0,375.0,165.42680484649262
N4K,356.4141,2805.0,8495.0,860.0,6310.0,12130.0,11330.0,49.2,69500.0,9715.0,28975.0,1615.0,560.0,81.29588588105801
N4L,288.4458,835.0,2220.0,210.0,2090.0,3445.0,2985.0,54.4,74500.0,2545.0,8337.0,440.0,155.0,28.90317695733479
N4N,141.6356,550.0,3115.0,340.0,2395.0,4380.0,3995.0,49.6,73000.0,3465.0,10341.0,525.0,185.0,73.01130506737006
N4S,294.6386,2520.0,10740.0,1210.0,7170.0,15440.0,14980.0,42.8,78000.0,13345.0,33055.0,1640.0,750.0,112.18828761744048
N4T,28.6033,1965.0,4880.0,460.0,3265.0,6820.0,6485.0,38.4,98000.0,5705.0,15161.0,780.0,260.0,530.0437362122552
N4V,2.048,365.0,1020.0,105.0,700.0,1405.0,1405.0,41.2,87000.0,1195.0,3477.0,215.0,85.0,1697.75390625
N4W,271.1048,975.0,4020.0,580.0,3065.0,6495.0,5670.0,38.0,84000.0,4960.0,13311.0,710.0,190.0,49.099093782183125
N4X,293.345,1085.0,3195.0,255.0,2490.0,4670.0,4200.0,47.6,89000.0,3730.0,9946.0,465.0,155.0,33.90546966881999
N4Z,5.8774,260.0,820.0,75.0,550.0,1170.0,1130.0,40.8,95000.0,1030.0,2362.0,105.0,50.0,401.87838159730495
N5A,161.2882,4215.0,9515.0,1195.0,7295.0,15390.0,14420.0,46.4,77000.0,12545.0,32898.0,1870.0,550.0,203.97028424894074
N5C,126.2413,1220.0,5200.0,355.0,3605.0,7195.0,7300.0,41.2,89000.0,6630.0,15721.0,670.0,355.0,124.53135384378963
N5H,283.723,820.0,5030.0,485.0,3495.0,6900.0,6020.0,37.6,83000.0,5140.0,15625.0,880.0,185.0,55.071319561685165
N5L,66.2917,365.0,905.0,55.0,1015.0,1385.0,1280.0,57.6,89000.0,1035.0,3714.0,240.0,55.0,56.02511324947165
N5P,293.7813,1755.0,6520.0,625.0,4535.0,9420.0,9140.0,42.8,77500.0,8050.0,21081.0,1090.0,445.0,71.7574603965603
N5R,29.3801,2900.0,9585.0,875.0,6795.0,13370.0,13090.0,44.8,80000.0,11550.0,30680.0,1540.0,585.0,1044.2442333416157
N5V,38.3675,3245.0,9670.0,1200.0,5770.0,14850.0,15750.0,36.4,74500.0,13565.0,32961.0,2185.0,685.0,859.0864664103734
N5W,17.5688,2585.0,6925.0,885.0,4555.0,11415.0,11485.0,40.4,64500.0,10165.0,24740.0,1320.0,505.0,1408.1781339647557
N5X,11.7911,8995.0,9505.0,900.0,8165.0,16540.0,15255.0,40.4,103000.0,12520.0,36963.0,2735.0,360.0,3134.8220267829124
N5Y,11.9884,5735.0,8740.0,1530.0,6345.0,16160.0,16495.0,35.6,63600.0,13565.0,35934.0,2930.0,625.0,2997.39748423476
N5Z,10.2388,2065.0,6565.0,970.0,4215.0,10185.0,10440.0,40.0,64500.0,9115.0,24067.0,1325.0,480.0,2350.5684259874206
N6A,6.0614,3965.0,2540.0,305.0,2320.0,6580.0,6435.0,34.0,61200.0,4920.0,13810.0,1515.0,90.0,2278.3515359487906
N6B,2.9296,2335.0,2210.0,310.0,1610.0,5265.0,5385.0,38.0,49200.0,4525.0,11101.0,860.0,130.0,3789.254505734571
N6C,13.4371,6345.0,7810.0,845.0,6345.0,14470.0,13790.0,41.6,75500.0,11790.0,30629.0,1995.0,490.0,2279.4352948180785
N6E,15.4174,2380.0,6915.0,845.0,5170.0,10580.0,10745.0,38.0,75000.0,9340.0,28140.0,1405.0,410.0,1825.2104764746325
N6G,47.7933,13015.0,12085.0,1195.0,10550.0,22065.0,20295.0,36.4,96000.0,16065.0,50940.0,4225.0,490.0,1065.839772520416
N6H,33.763,10820.0,10310.0,1060.0,8910.0,19270.0,18385.0,38.8,71000.0,14430.0,44215.0,3955.0,410.0,1309.5696472469865
N6J,9.4009,3730.0,6975.0,790.0,5405.0,11460.0,11370.0,43.6,65000.0,9875.0,27497.0,1490.0,420.0,2924.9327192077353
N6K,34.3123,7725.0,8905.0,785.0,8925.0,15975.0,14880.0,44.4,100000.0,12565.0,37596.0,2310.0,410.0,1095.700375667035
N6L,31.5686,1060.0,1490.0,180.0,935.0,2295.0,2025.0,34.4,103000.0,1685.0,5167.0,345.0,55.0,163.67529760584884
N6M,41.6825,1520.0,2905.0,220.0,1810.0,4185.0,4035.0,35.2,109000.0,3475.0,8542.0,560.0,115.0,204.9301265519103
N6N,67.5277,85.0,270.0,10.0,160.0,395.0,255.0,49.2,95000.0,210.0,728.0,40.0,10.0,10.780761080267801
N6P,164.9351,2345.0,3235.0,210.0,2615.0,5195.0,4440.0,40.8,119000.0,3795.0,10943.0,645.0,125.0,66.34730872931232
N7A,253.3853,1100.0,3590.0,260.0,3150.0,5145.0,4625.0,55.2,74000.0,3965.0,12495.0,655.0,175.0,49.31225292074954
N7G,220.6681,1660.0,6515.0,610.0,4570.0,9310.0,8765.0,44.4,85000.0,7745.0,19921.0,1015.0,320.0,90.27584866140597
N7L,25.7538,2335.0,7180.0,745.0,5420.0,10325.0,10395.0,47.2,68500.0,9010.0,25127.0,1385.0,485.0,975.661844077379
N7M,325.6238,2260.0,7295.0,785.0,5355.0,10720.0,10120.0,44.0,71000.0,8820.0,25579.0,1295.0,475.0,78.55384035196444
N7S,16.0133,3335.0,8635.0,640.0,6265.0,11910.0,12000.0,42.4,93000.0,10130.0,28410.0,1865.0,475.0,1774.1502376149824
N7T,101.9124,1715.0,6855.0,800.0,4650.0,9990.0,10190.0,44.4,58400.0,8510.0,26033.0,1685.0,590.0,255.44487226284534
N7V,7.5841,1415.0,3375.0,215.0,2800.0,4600.0,4505.0,51.6,83000.0,3830.0,11611.0,675.0,175.0,1530.9661001305362
N7W,36.1951,225.0,540.0,30.0,815.0,750.0,705.0,66.5,81000.0,595.0,2578.0,110.0,5.0,71.22511058126653
N7X,7.1848,185.0,335.0,15.0,335.0,440.0,320.0,54.8,142000.0,265.0,1129.0,55.0,20.0,157.1372898340942
N8A,358.8804,530.0,3715.0,340.0,2750.0,4950.0,4880.0,48.0,64500.0,4290.0,12624.0,595.0,280.0,35.1760642264108
N8H,154.9092,1555.0,7920.0,1120.0,5410.0,11220.0,10735.0,41.6,78000.0,9225.0,27530.0,1510.0,355.0,177.71701099741009
N8M,120.0186,1055.0,4005.0,285.0,2675.0,5265.0,5410.0,44.8,88000.0,4890.0,11819.0,515.0,195.0,98.47640282422891
N8N,49.2695,4455.0,7320.0,380.0,5860.0,10385.0,10155.0,47.6,108000.0,8885.0,24534.0,1270.0,210.0,497.9551243670019
N8P,5.7709,2665.0,3980.0,280.0,3285.0,5755.0,5875.0,46.0,100000.0,5230.0,14603.0,650.0,100.0,2530.4545218250187
N8R,5.8025,1470.0,3530.0,390.0,2590.0,4915.0,5230.0,40.8,92000.0,4650.0,12733.0,580.0,160.0,2194.398965962947
N8S,9.0567,3065.0,6210.0,490.0,4630.0,8690.0,9245.0,46.8,72500.0,8345.0,22354.0,900.0,310.0,2468.2279417447858
N8T,11.3662,1410.0,4295.0,500.0,3095.0,5900.0,6690.0,42.4,60800.0,5870.0,17935.0,820.0,250.0,1577.924020341011
N8W,16.6972,2905.0,7165.0,745.0,4860.0,10290.0,11205.0,41.6,80000.0,10040.0,24057.0,1165.0,390.0,1440.7804901420598
N8X,8.2375,1710.0,3880.0,570.0,2635.0,5985.0,6535.0,39.2,60000.0,5715.0,16457.0,820.0,260.0,1997.8148710166918
N8Y,7.9544,2280.0,4815.0,615.0,3360.0,7285.0,7780.0,42.8,62800.0,6915.0,19254.0,870.0,350.0,2420.5471185758825
N9A,6.0556,3160.0,4600.0,800.0,3555.0,8380.0,8835.0,38.8,45200.0,7390.0,26107.0,1445.0,285.0,4311.216064469251
N9B,7.2011,3785.0,4260.0,645.0,2625.0,7570.0,7960.0,30.2,59600.0,6340.0,19613.0,1620.0,170.0,2723.6116704392384
N9C,8.7536,1690.0,2695.0,425.0,1730.0,4520.0,4980.0,32.8,54000.0,4110.0,12538.0,870.0,185.0,1432.3249862913544
N9E,15.1767,4400.0,5630.0,420.0,4555.0,8565.0,8640.0,42.4,103000.0,7445.0,21465.0,1195.0,195.0,1414.3390855719622
N9G,9.9407,4610.0,5350.0,375.0,4180.0,8390.0,8380.0,40.8,111000.0,7100.0,20712.0,1280.0,140.0,2083.55548402024
N9H,24.3842,2855.0,3405.0,195.0,3005.0,5420.0,5275.0,46.0,117000.0,4500.0,13173.0,770.0,95.0,540.2268682179445
N9J,49.31,4160.0,6440.0,315.0,4840.0,9320.0,9260.0,43.6,119000.0,8205.0,20089.0,1055.0,225.0,407.40214966538224
N9K,8.5232,575.0,770.0,45.0,625.0,1165.0,1225.0,42.8,136000.0,1080.0,2757.0,150.0,20.0,323.47005819410555
N9V,137.9016,2480.0,7150.0,375.0,5235.0,9580.0,9520.0,45.6,97000.0,8480.0,21688.0,1040.0,335.0,157.27156175127772
N9Y,76.6327,1630.0,4980.0,460.0,3825.0,6780.0,6355.0,47.2,90000.0,5565.0,15836.0,790.0,190.0,206.64807582141827
P0A,4150.6682,1030.0,4835.0,280.0,4550.0,6625.0,5835.0,56.8,68000.0,4880.0,17822.0,955.0,360.0,4.293766483189382
P0B,869.5903,1085.0,3170.0,200.0,2460.0,4515.0,3770.0,53.2,90000.0,3090.0,9589.0,680.0,185.0,11.027031925264117
P0C,873.0947,485.0,1110.0,85.0,1195.0,1795.0,1400.0,56.8,78500.0,1100.0,4824.0,300.0,85.0,5.525173844257673
P0E,367.6774,355.0,1195.0,65.0,900.0,1640.0,1365.0,54.4,83000.0,1115.0,3606.0,250.0,80.0,9.807510605764728
P0G,788.8151,360.0,1000.0,75.0,905.0,1495.0,1250.0,58.0,72000.0,1000.0,3553.0,255.0,75.0,4.5042241204561115
P0H,18206.2677,2475.0,9170.0,575.0,8040.0,13025.0,12080.0,50.8,80000.0,10030.0,31909.0,2045.0,700.0,1.7526381862439604
P0J,8531.4233,1330.0,6165.0,635.0,4650.0,8665.0,7770.0,47.6,72500.0,6620.0,20179.0,1150.0,515.0,2.3652559825510004
P0K,14618.404,520.0,3200.0,220.0,2815.0,4555.0,4450.0,49.2,75000.0,3755.0,11456.0,695.0,305.0,0.78366968104042
P0L,126824.8916,1390.0,6155.0,640.0,4795.0,9025.0,8880.0,42.0,77500.0,7175.0,22859.0,1700.0,810.0,0.18024064291808153
P0M,63926.0532,3450.0,16130.0,1005.0,12035.0,21895.0,21765.0,46.8,86000.0,18705.0,49727.0,3060.0,1455.0,0.7778831557835014
P0N,1654.6428,660.0,3165.0,250.0,2200.0,4380.0,4405.0,40.0,90000.0,3865.0,9435.0,535.0,305.0,5.70213704129979
P0P,4663.9828,1380.0,4980.0,490.0,4390.0,7300.0,6655.0,50.8,64000.0,5280.0,20285.0,1370.0,470.0,4.349287051401648
P0R,9014.5396,925.0,3305.0,210.0,3245.0,4850.0,4350.0,54.8,68500.0,3625.0,12976.0,730.0,220.0,1.439452326550321
P0S,13260.6608,830.0,3200.0,235.0,2650.0,4395.0,4370.0,50.0,85000.0,3645.0,10170.0,720.0,255.0,0.7669301065298345
P0T,94591.9474,2195.0,9120.0,700.0,7100.0,12600.0,12490.0,45.6,77000.0,10085.0,32000.0,2405.0,975.0,0.33829518135071185
P0V,374847.0227,970.0,5690.0,845.0,3375.0,8205.0,8290.0,30.8,71500.0,6655.0,22944.0,1635.0,965.0,0.06120896955439524
P0W,14646.5332,395.0,2020.0,135.0,1410.0,2710.0,2410.0,42.8,76500.0,1920.0,6454.0,490.0,170.0,0.4406503513063419
P0X,18785.2943,585.0,2220.0,200.0,1695.0,2980.0,2770.0,43.6,75500.0,2195.0,8410.0,575.0,290.0,0.447690617229244
P0Y,78.8305,0.0,0.0,0.0,35.0,20.0,0.0,66.5,,0.0,96.0,0.0,0.0,1.2178027540101863
P1A,18.5185,1835.0,4395.0,400.0,3530.0,6630.0,6595.0,44.8,74000.0,5680.0,16959.0,915.0,405.0,915.7869157869158
P1B,547.3026,3725.0,8945.0,1065.0,6365.0,14365.0,14140.0,44.4,66000.0,11920.0,33113.0,2220.0,705.0,60.50217923320664
P1C,5.9895,850.0,950.0,110.0,885.0,1625.0,1495.0,42.8,153000.0,1225.0,3371.0,265.0,40.0,562.8182652976042
P1H,815.5869,2120.0,5360.0,500.0,4225.0,7910.0,6965.0,51.2,82000.0,5860.0,18099.0,1105.0,325.0,22.191381445680406
P1L,680.4089,2100.0,5595.0,490.0,4195.0,8250.0,7225.0,51.2,86000.0,6070.0,17984.0,1155.0,335.0,26.431165142019747
P1P,379.3228,820.0,2775.0,220.0,2330.0,4190.0,3715.0,54.0,72500.0,3090.0,11083.0,630.0,225.0,29.21785877358282
P2A,903.3394,1405.0,4175.0,515.0,3295.0,6220.0,5505.0,54.0,73500.0,4525.0,14695.0,980.0,255.0,16.267418425455595
P2B,65.588,655.0,2450.0,245.0,2100.0,3510.0,3495.0,50.4,66000.0,2785.0,9754.0,710.0,220.0,148.7162285783985
P2N,21.9581,590.0,1820.0,265.0,1345.0,2735.0,2800.0,45.2,60800.0,2460.0,6944.0,345.0,190.0,316.23865452839726
P3A,46.7649,2800.0,6645.0,595.0,5035.0,10450.0,10540.0,45.2,83000.0,8690.0,24326.0,1850.0,465.0,520.1764571291717
P3B,21.2363,1880.0,4580.0,495.0,2970.0,7055.0,7275.0,40.4,66500.0,6005.0,16434.0,1270.0,365.0,773.8636203105061
P3C,10.8105,1625.0,4235.0,535.0,2680.0,7470.0,7770.0,38.0,54000.0,6445.0,17596.0,1325.0,445.0,1627.6767957078766
P3E,1096.0516,6435.0,7800.0,750.0,6220.0,13245.0,12510.0,46.0,85000.0,10020.0,29132.0,2490.0,415.0,26.57904062181014
P3G,266.1714,830.0,1505.0,70.0,1115.0,2070.0,1850.0,46.4,128000.0,1555.0,4167.0,290.0,95.0,15.655325853942234
P3L,128.8018,815.0,2945.0,210.0,1815.0,3995.0,3910.0,41.2,102000.0,3325.0,7996.0,585.0,210.0,62.079877765683406
P3N,115.8818,625.0,2805.0,130.0,1900.0,3725.0,3705.0,43.2,107000.0,3240.0,7980.0,465.0,225.0,68.86327274861108
P3P,492.1684,1485.0,5535.0,255.0,3740.0,7580.0,7630.0,42.0,109000.0,6535.0,15408.0,1095.0,455.0,31.306357742593793
P3Y,113.4003,1170.0,2730.0,135.0,1965.0,3730.0,3665.0,44.0,113000.0,3210.0,7757.0,455.0,185.0,68.40369910837978
P4N,292.012,1920.0,7275.0,875.0,4920.0,11000.0,10845.0,42.8,73500.0,9435.0,24098.0,1410.0,675.0,82.52400586277277
P4P,80.4413,360.0,1160.0,130.0,710.0,1620.0,1595.0,41.2,101000.0,1330.0,3232.0,265.0,80.0,40.1783660880667
P4R,928.2296,520.0,1640.0,135.0,1190.0,2370.0,2195.0,43.6,116000.0,1830.0,4795.0,370.0,100.0,5.165747784815308
P5A,696.0556,600.0,2105.0,230.0,2565.0,2955.0,3040.0,60.4,50000.0,2565.0,11372.0,470.0,220.0,16.33777531565007
P5E,81.003,425.0,1555.0,160.0,1270.0,2220.0,2195.0,49.2,78500.0,1885.0,5427.0,310.0,130.0,66.99751861042184
P5N,83.9821,570.0,2470.0,220.0,1935.0,3360.0,3305.0,48.4,69000.0,2735.0,8260.0,565.0,220.0,98.35429216463984
P6A,537.2735,4665.0,9465.0,625.0,7535.0,13585.0,13770.0,47.2,78000.0,11560.0,33800.0,2215.0,640.0,62.910231008974016
P6B,20.7203,2975.0,5770.0,565.0,4630.0,8725.0,8905.0,48.0,69000.0,7355.0,22754.0,1550.0,400.0,1098.1501233090253
P6C,32.2818,1460.0,5910.0,545.0,3935.0,7925.0,8390.0,46.4,71500.0,7280.0,18766.0,1110.0,450.0,581.3182660198627
P7A,4089.2115,4000.0,8540.0,670.0,6040.0,12300.0,12380.0,47.2,78500.0,10315.0,28587.0,2065.0,570.0,6.990834296538587
P7B,13.7363,4125.0,6005.0,590.0,4130.0,9755.0,9755.0,40.8,70000.0,7520.0,22675.0,2230.0,340.0,1650.735642057905
P7C,40.6583,2365.0,6030.0,640.0,4080.0,9085.0,9325.0,42.4,72500.0,7790.0,21695.0,1530.0,450.0,533.5933868361442
P7E,12.9523,1960.0,6235.0,585.0,3985.0,8990.0,9340.0,44.4,68500.0,7960.0,20897.0,1380.0,460.0,1613.3814071632066
P7G,4037.979,2375.0,4530.0,270.0,3415.0,6315.0,5985.0,44.8,117000.0,4975.0,13238.0,1005.0,235.0,3.2783726710812515
P7J,173.3003,770.0,1485.0,95.0,1180.0,2150.0,1970.0,44.8,114000.0,1610.0,4859.0,355.0,65.0,28.038035710267092
P7K,108.4952,1025.0,2445.0,85.0,1845.0,3155.0,2880.0,49.2,118000.0,2460.0,6801.0,425.0,95.0,62.68480080224747
P7L,873.7825,260.0,745.0,35.0,585.0,1040.0,985.0,48.8,94000.0,835.0,2188.0,150.0,40.0,2.5040556431377374
P8N,563.9007,720.0,3325.0,270.0,2225.0,4380.0,4265.0,48.0,83000.0,3575.0,9619.0,695.0,220.0,17.057967830151654
P8T,207.6624,760.0,1900.0,240.0,1120.0,2975.0,2845.0,37.2,103000.0,2455.0,5541.0,390.0,175.0,26.682731202182005
P9A,378.0704,905.0,3285.0,345.0,2155.0,4480.0,4330.0,44.8,82000.0,3510.0,10079.0,820.0,255.0,26.659056091140698
P9N,272.5851,1585.0,4780.0,375.0,2915.0,6650.0,6330.0,43.6,83000.0,5100.0,14088.0,1230.0,360.0,51.68294231783028
